num,cat,ami
lag1_kur,sex,0.006519696218913514
lag1_skew,vocal_channel,0.018134007796352658
lag1_skew,emotion,0.015514504567691809
lag1_skew,emotional_intensity,1.9863035788194964e-05
lag1_skew,statement,0.05321459135942198
lag1_skew,repetition,0.0001157586434430305
lag1_skew,actor,0.0345472809723299
lag1_skew,sex,0.012544826079527331
zc_sum,vocal_channel,0.014867086346832632
zc_sum,emotion,0.02760546204830924
zc_sum,emotional_intensity,0.02232473537290698
zc_sum,statement,0.009332864787598625
zc_sum,repetition,-0.0001963894682565036
zc_sum,actor,0.10077646179960988
zc_sum,sex,0.06306277032343192
zc_mean,vocal_channel,0.018591172555702404
zc_mean,emotion,0.04016296322407436
zc_mean,emotional_intensity,0.016683062589379998
zc_mean,statement,0.011578282865219695
